"ZoteroID","Title","Publication Year","Author"
"PKFKP3NR","Movement and dive behavior determined by satellite telemetry for male and female olive ridley turtles in the Eastern Tropical Pacific.",2003,"Parker, Denise M.; Dutton, Peter H.; Kopitsky, Kerry; Pitman, Robert L."
"GGRUCXJQ","Satellite tracking of hawksbill turtles Eretmochelys imbricata nesting in northern Bahia, Brazil: turtle movements and foraging destinations",2012,"Marcovaldi, Maria Angela; Lopez, Gustave G.; Soares, Luciano S.; Lopez-Mendilaharsu, Milagros"
"BGDZAU9I","Immature sea turtles in Gullivan Bay, Ten Thousand Islands, southwest Florida",2004,"Witzell, Wayne N.; Schmid, Jeffrey R."
"U5VAEAC3","Extensive hybridization in hawksbill turtles (Eretmochelys imbricata) nesting in Brazil revealed by mtDNA analyses",2006,"Lara-Ruiz, P.; Lopez, G. G.; Santos, F. R.; Soares, L. S."
"299CKCWX","First record of hybridization between green Chelonia mydas and hawksbill Eretmochelys imbricata sea turtles in the Southeast Pacific",2016,"Kelez, Shaleyla; Velez-Zuazo, Ximena; Pacheco, Aldo S."
"35JNEIXV","Hybridization among the ancient mariners: Characterization of marine turtle hybrids with molecular genetic assays",2010,"Karl, S.A.; Bowen, B.W.; Avise, J.C."
"MCEGWM5H","Evidence of olive ridley mitochondrial genome introgression into loggerhead turtle rookeries of Sergipe, Brazil",2010,"Reis, Estefane Cardinot; Soares, L. S.; Lobo-Hajdu, G."
"R6ECH2JS","Hybridization of the green turtle (Chelonia mydas) and hawksbill turtle (Eretmochelys imbricata) in the Pacific Ocean: Indication of an absence of gender bias in the directionality of crosses",2003,"Seminoff, J. A.; Karl, S. A.; Schwartz, T.; Resendiz, A."
"VEEP4I2H","Marine Turtles in the Turks and Caicos Islands: Remnant Rookeries, Regionally Significant Foraging Stocks, and a Major Turtle Fishery",2009,"Richardson, Peter B.; Bruford, Michael W.; Calosso, Marta C.; Campbell, Lisa M.; Clerveaux, Wesley; Formia, Angela; Godley, Brendan J.; Henderson, Aaron C.; McClellan, Kate; Newman, Steven; Parsons, Kristene; Pepper, Martin; Ranger, Susan; Silver, Jennifer J.; Slade, Lorna; Broderick, Annette C."
"ZSSJZV5V","Hawksbill x loggerhead sea turtle hybrids at Bahia, Brazil: where do their offspring go?",2014,"Proietti, M.C.; Reisser, J.; Marins, L.F.; Marcovaldi, M.A.; Soares, L.S.; Monteiro, D.S.; Wijeratne, S.; Pattiaratchi, C.; Secchi, E.R."
"4GPGZBJV","Wild versus head-started hawksbill turtles Eretmochelys imbricata: post-release behavior and feeding adaptions",2010,"Okuyama, Junichi; Shimizu, Tomohito; Abe, Osamu; Yoseda, Kenzo; Arai, Nobuaki"
"7XBHJU2U","Migration of hawksbill turtles Eretmochelys imbricata from Tortuguero, Costa Rica",2005,"Troëng, Sebastian; H Dutton, Peter; Evans, Daniel"
"4VI35KI8","Tracking juvenile hawksbill turtles at Lighthouse Reef Atoll, Belize.",2010,"Jackson, Julie; Lewis, James; Graham, Rachel; Godley, Brendan"
"F7N2Z6R6","Satellite tracking reveals unusual diving characteristics for a marine reptile, the olive ridley turtle Lepidochelys olivacea",2007,"McMahon, Clive R.; Bradshaw, Corey J. A.; Hays, Graeme C."
"AGTBQP76","Departure of male olive ridley turtles (Lepidochelys olivacea) from a nearshore breeding ground",1996,"Plotkin, P. T.; Owens, D. W.; Byles, R. A.; Patterson, R."
"BC7BIE75","Influence of eddies on the migratory routes of the sea turtles in the Bay of Bengal",2006,"Sasamal, S. K.; Panigraphy, R. C."
"P5E7WA6X","Tracking olive ridley turtles from Orissa.",2003,"Shanker, Kartik; Choudhury, B. C.; Pandav, Bivash; Tripathy, Basudev; Kar, C. S.; Kar, S. K.; Gupta, N. K.; Frazier, John G."
"X4ASIW3P","APPLICATION OF SATELLITE TELEMETRY TECHNIQUE IN SEA TURTLE RESEARCH IN INDIA.",2010,"Sivakumar, K.; Choudhury, B. C.; Kumar, R. Suresh; Tripathy, Basudev; Behera, Subbrat Kumar; Behera, Satyaranjan; John, Sajan; Ola, Ved Prakash"
"2ZV399FC","Movements of olive ridley sea turtles Lepidochelys olivacea and associated oceanographic features as determined by improved light-based geolocation",2010,"Swimmer, Yonat; McNaughton, Lianne; Foley, David; Moxey, Lucas; Nielsen, Anders"
"6VT6WAXZ","Habitat use and diving behaviour of gravid olive ridley sea turtles under riverine conditions in French Guiana",2017,"Chambault, Philippine; Giraudou, Lucie; de Thoisy, Benoit; Bonola, Marc; Kelle, Laurent; Dos Reis, Virginie; Blanchard, Fabian; Le Maho, Yvon; Chevallier, Damien"
"Q63NE5DN","Population structure of loggerhead turtles (Caretta caretta) in the northwestern Atlantic Ocean and Mediterranean Sea",1993,"Bowen, Brian; Avise, John C.; Richardson, James I.; Meylan, Anne B.; Margaritoulis, Dimitris; HOPKINS-MURPHY, SALLY R."
"8DNUCVE6","The influence of oceanographic features on the foraging behavior of the olive ridley sea turtle Lepidochelys olivacea along the Guiana coast",2016,"Chambault, Philippine; de Thoisy, Benoit; Heerah, Karine; Conchon, Anna; Barrioz, Sebastien; Dos Reis, Virginie; Berzins, Rachel; Kelle, Laurent; Picard, Baptiste; Roquet, Fabien; Le Maho, Yvon; Chevallier, Damien"
"DRZ2UTZP","Movements and dive behavior of a male sea turtle (Lepidochelys olivacea) in the eastern tropical Pacific",1996,"Beavers, S. C.; Cassano, E. R."
"EP4Q5N9B","Sex-specific migration patterns of hawksbill turtles breeding at Mona Island, Puerto Rico",2008,"Van Dam, Robert P.; Diez, Carlos E.; Balazs, George H.; Colón, Luis A. Colón; McMillan, W. Owen; Schroeder, Barbara"
"3T3PGMQQ","Interruption of the Kemp's Ridley Population's Pre-2010 Exponential Growth in the Gulf of Mexico and its Aftermath: One Hypothesis",2014,"Caillouet, Charles W."
"S3NJFK8J","Nesting success of Kemp's ridley sea turtles, Lepidochelys kempi, at Rancho Nuevo, Tamaulipas, Mexico, 1982-2004",2007,"Witzell, W.N.; Burchfield, P.M.; Peña, L.J.; Marquez-M., R.; Ruiz-M., G."
"WBM7FC2F","A long journey: a Kemp's ridley sea turtle (Lepidochelys kempii) visits the Mediterranean Sea.",2003,"Tomas, Jesus; Formia, Angela; Aznar, F. Javier; Raga, J. Antonio"
"2JX38R92","Trends and variability in demographic indicators of a recovering population of green sea turtles Chelonia mydas",2016,"Piacenza, Susan E.; Balazs, George H.; Hargrove, Stacy K.; Richards, Paul M.; Heppell, Selina S."
"9UBXDUCN","Stranding of a Green Turtle, Chelonia mydas (Linnaeus, 1758), in the Turkish Black Sea",2011,"Ozturk, Bayram; Tonay, Arda M.; Akkaya, Aylin; Ozturk, Ayaka Amaha; Dede, Ayhan"
"X4ZCJXF9","Is Sea Turtles Emergence Only for Preparing Nest or Only for Clutching?",2011,"Ergun, Yasar; ulku, Alev; Yalcin-Ozdilek, Sukran"
"4WWD8GDK","Using Google Earth to Confirm Marine Turtle Nesting: The Makran Coast (Pakistan) & The Hadramout (Yemen)",2010,"Groombridge, Brian"
"UU8TXVK3","Impact of Clutch Relocation on Green Turtle Offspring",2009,"Pintus, Kathryn J.; Godley, Brendan J.; McGowan, Andrew; Broderick, Annette C."
"IM23GTBV","Chelonia mydas (Green Sea Turtle). Habitat and occurrence",2008,"Vigliar Bondioli, Ana Cristina; Nagaoka, Shany Mayumi; De Araujo Monteiro-Filho, Emygdio Leite"
"UNBW2X4Z","Artisanal and traditional turtle resource utilisation in south west Madagascar.",2003,"Walker, R.; Fanning, E."
"U2ZU556U","Nesting site requirements for green turtle (Chelonia mydas L.) in Indonesia",1992,"Nujita, I. Nyoman S."
"CJUU4VWA","Sand temperatures for nesting sea turtles in the Caribbean: Implications for hatchling sex ratios in the face of climate change",2016,"Laloë, J.-O.; Esteban, N.; Berkel, J.; Hays, G.C."
"QJH35KP2","Record of a Hawksbill Sea Turtle (Eretmochelys imbricata, Linneaus 1766) Aggregation at Anchieta Island State Park, Ubatuba, Sao Paulo, Brazil",2013,"Leite, Tiago C.; Bondioli, Ana Cristina V.; Martins, Josef K.; Rodrigues, Jennifer; Guitierrez, Debora"
"EF6NUMIV","Jaguar Panthera onca predation of marine turtles: conflict between flagship species in Tortuguero, Costa Rica",2012,"Verissimo, D.; Jones, D. A.; Chaverri, R.; Meyer, S. R."
"UCZQPZWS","Assessment of the aquatic biodiversity of a threatened coastal lagoon at Bimini, Bahamas",2012,"Jennings, David E.; DiBattista, Joseph D.; Stump, Kristine L.; Hussey, Nigel E.; Franks, Bryan R.; Grubbs, R. Dean; Gruber, Samuel H."
"J6NER3TC","Biometric data on hawksbill turtles (Eretmochelys imbricata) nesting at Cousine Island, Seychelles",2004,"Hitchins, P. M.; Bourquin, O.; Hitchins, S.; Piper, S. E."
"AC4ECAC2","Nest site location and nest success in the hawksbill turtle Eretmochelys imbricata in Barbados, West Indies",1991,"HORROCKS, JA; SCOTT, NM"
"AXQSHMH5","Videography reveals in-water behavior of loggerhead turtles (Caretta caretta) at a foraging ground",2016,"Patel, S.H.; Dodge, K.L.; Haas, H.L.; Smolowitz, R.J."
"8XPPBIAC","INTERACTION OF LOGGERHEAD TURTLES (CARETTA CARETTA) WITH TRADITIONAL FISH AGGREGATING DEVICES (FADS) IN THE MEDITERRANEAN SEA",2016,"Blasi, Monica F.; Roscioni, Federica; Mattei, Daniela"
"EDRIVW74","A Significant Nesting Population of Loggerhead Turtles at the Nature Reserve of Santa Luzia, Cabo Verde",2015,"Rocha, Patricia Rendall; Melo, Tommy; Rebelo, Rui; Catry, Paulo"
"5SAZURW2","Annual survival probabilities of juvenile loggerhead sea turtles indicate high anthropogenic impact on Mediterranean populations",2015,"Casale, Paolo; Freggi, Daniela; Furii, Giovanni; Vallini, Carola; Salvemini, Pasquale; Deflorio, Michele; Totaro, Giovanni; Raimondi, Stefano; Fortuna, Caterina; Godley, Brendan J."
"VFDXUNEM","[Final report. The nesting of marine turtles on Holbox Island, Quintana Roo, during 1994.]",1994,"Morales Moctezuma, Elia J."
"Q52RDHF3","RELATIVE ABUNDANCE, TEMPORAL PATTERNS, AND GROWTH OF SEA-TURTLES AT THE MANSFIELD CHANNEL, TEXAS",1994,"SHAVER, DJ"
"TA6GCW67","Miscellaneous observations on the behavior of captive sea turtles",1958,"PARRISH, FRED K."
"VAGGSPSM","ELECTROPHORETIC CHARACTERIZATION OF A HYBRID BETWEEN ERETMOCHELYS-IMBRICATA AND CARETTA-CARETTA (CHELONIIDAE)",1990,"CONCEICAO, MB; LEVY, JA; MARINS, LF; MARCOVALDI, MA"
"USTMXFUW","Juvenile Eretmochelys imbricata and Chelonia mydas in the Archipelago of Fernando de Noronha, Brazil",1999,"Sanches, Taisi Maria; Bellini, Claudio"
"SUVHP8XE","Asynchronous emergence by loggerhead turtle (Caretta caretta) hatchlings",2001,"Houghton, J. D. R.; Hays, G. C."
"SR6XFH6V","Sea-turtles in Espirito Santo, Brazil.",2013,"Ramaekers, Sjef; Woldhuis, Mathieu"
"WMMEE3GD","Tetranucleotide microsatellite loci from the critically endangered hawksbill turtle (Eretmochelys imbricata)",2013,"Shamblin, Brian M.; Berry, Bonnie E.; Lennon, Denise M.; Meylan, Anne B.; Meylan, Peter A.; Outerbridge, Mark E.; Nairn, Campbell J."
"X9WNJQB2","RECAPTURES OF MARINE TURTLES TAGGED IN EAST-AFRICA - EVIDENCE FOR A NON-MIGRATORY GREEN TURTLE POPULATION",1981,"FRAZIER, J."
"WGGWNRMV","Amphibians and reptiles of southern Florida",1958,"DUELLMAN, WM E.; SCHWARTZ, ALBERT"
"WJADXXBW","LYSINE-HISTIDINE RATIOS IN MARINE TURTLE SHELLS",1977,"HENDRICKSON, JR; WOOD, JR; YOUNG, RS"
"WUEV55WH","Hawksbill turtles, Eretmochelys imbricata, nesting on Redang Island, Terengganu, Malaysia, from 1993 to 1997",1999,"Chan, Eng-Heng; Liew, Hock-Charck"
"XQ943GBG","Time in tortoiseshell: a bomb radiocarbon-validated chronology in sea turtle scutes",2016,"Van Houtan, Kyle S.; Andrews, Allen H.; Jones, T. Todd; Murakawa, Shawn K. K.; Hagemann, Molly E."
"2N63A6AV","An annotated list of animals of Okinawa Islands.",1959,"Okada, Y."
